CNPJ_FUNDO,CNPJ_ADMINISTRADOR,DATA_COMPETENCIA,TIPO_CONDOMINIO,FUNDO_EXCLUSIVO,CLASSE_UNICA,COTISTA_VINCULADO,ATIVO_TOTAL,DISPONIBILIDADES,CARTEIRA_TOTAL,OUTROS_ATIVOS_TOTAL,OUTROS_ATIVOS_CURTO_PRAZO,OUTROS_ATIVOS_LONGO_PRAZO,PASSIVO_CIRCULANTE,PASSIVO_EXIGIVEL_LONGO_PRAZO,PATRIMONIO_LIQUIDO,CREDITOS_ADQUIRIDOS,CRED_VENCIDOS_ADIMPLENTES,CRED_VENCIDOS_INADIMPLENTES,CRED_TOTAL_VENC_INADIMPL,CRED_INADIMPLENCIA,CRED_PERFORMADOS,CRED_VENCIDOS_PENDENTES,CRED_EMP_RECUPERACAO,CRED_RECEITA_PUBLICA,CRED_ACAO_JUDICIAL,CRED_CONSTITUICAO_JURIDICA,CRED_PROVISAO_REDUCAO,AGING_A_VENCER,AGING_VENC_1_30_DIAS,AGING_VENC_31_60_DIAS,AGING_VENC_61_90_DIAS,AGING_VENC_91_120_DIAS,AGING_VENC_121_150_DIAS,AGING_VENC_151_180_DIAS,AGING_VENC_181_360_DIAS,AGING_VENC_361_720_DIAS,AGING_VENC_721_1080_DIAS,AGING_VENC_MAIOR_1080_DIAS,DICRED_TOTAL,DICRED_CEDENTE,DICRED_VENC_INADIMPL,DICRED_TOTAL_VENC_INAD,DICRED_INADIMPLENCIA,DICRED_PERFORMADOS,DICRED_VENC_PENDENTES,DICRED_EMP_RECUPERACAO,DICRED_RECEITA_PUBLICA,DICRED_ACAO_JUDICIAL,DICRED_PROVISAO_REDUCAO,SUBORD_CAPTACOES,SUBORD_AMORTIZACOES,SUBORD_RESGATES,VALORES_MOBILIARIOS_TOTAL,DEBENTURES,CRI,NOTAS_PROMISSORIAS_COMERCIAIS,LETRAS_FINANCEIRAS,COTAS_FIF,OUTROS_DIREITOS_CREDITORIOS,TITULOS_PUBLICOS_FEDERAIS,CDB,APLICACOES_COMPROMISSADAS,ATIVOS_FINANCEIROS_RF,COTAS_FIDC,CEDENTES_CONCENTRADOS_JSON,QTD_CEDENTES_CONCENTRADOS,INADIMPLENCIA_TOTAL,NPL_RATIO,NPL_RATIO_CREDITO_PURO,LIQUIDEZ_IMEDIATA_RATIO,ZUMBI_RATIO,INDICE_NPL_PERCENTUAL,TAXA_LIQUIDEZ_PERCENTUAL,CONCENTRACAO_CREDITO_PERCENTUAL,NPL_OUTLIER_FLAG,FLAG_CRED_ADQ_BAIXO,FLAG_VENCIDOS_ALTO,FLAG_NPL_IMPLAUSIVEL,FLAG_CARTEIRA_ZERADA,ANOMALIA_ESTRUTURAL,STATUS_DADOS,SCORE_SAFARI,CLASSIFICACAO_SAFARI,NOME_FUNDO,STATUS,ID_DOCUMENTO,DATA_REFERENCIA_DOC,MENSAGEM_ERRO,TIPO_COLETA,CLASSE_SELECIONADA,PRIORIDADE_CLASSE
6081379000198.0,42066258000130.0,,0.0,0.0,0.0,0.0,21485376.06,98114.58,21387261.48,0.0,0.0,0.0,47384.65,0.0,21437991.41,1160648.47,1267715.03,10500843.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10607910.29,11768558.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11768558.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19579761.53,16591924.95,0.0,0.0,0.0,0.0,1536533.46,0.0,0.0,646851.48,0.0,0.0,,0.0,0.0,0.0,0.0,2.0705983899849425,55.026019909118354,0.0,0.45665749450233273,99.54334250549768,False,False,False,False,False,False,VALIDADO,30.0,MONITORAR,KOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,SUCESSO,816751,12/2024,,ROLLING_60_MESES,Outros,4.0
7084253000130.0,62285390000140.0,,0.0,0.0,0.0,0.0,52639326.91,1621.28,51986943.84,650761.79,650761.79,0.0,82770.07,5.46,52556551.38,10695878.09,5948729.06,4747149.04,98720.05,1003791.82,0.0,0.0,0.0,0.0,0.0,0.0,1003791.83,10597158.05,241583.68,238964.65,236568.95,234041.05,231589.73,161612.92,1453192.18,2904409.2,4578039.9,317155.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9100999.41,3047995.96,0.0,0.0,0.0,0.0,0.0,4311828.12,0.0,1476067.08,0.0,26402171.14,,0.0,1003791.82,0.18989392856758475,0.9229728421483906,0.01958775678213151,0.6100681566820104,1.930853683358202,0.0030799785923782434,98.76065461263325,False,False,False,False,False,False,VALIDADO,31.82,MONITORAR,MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,SUCESSO,817757,12/2024,,ROLLING_60_MESES,Outros,4.0
8611414000169.0,62285390000140.0,,0.0,0.0,0.0,0.0,669349846.8,1533.32,669334315.24,13998.24,13998.24,0.0,92159.77,0.01,669257687.02,669319180.17,669319180.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669319180.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10303534.87,659015645.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15135.07,0.0,0.0,,0.0,0.0,0.0,0.0,0.016637628327414444,98.45836830638211,0.0,0.00022907602165451037,99.99767960505643,False,False,False,False,False,False,VALIDADO,59.58,OPORTUNIDADE_MODERADA,V3 FIDC MULTICARTEIRA - NP,SUCESSO,816489,12/2024,,ROLLING_60_MESES,Outros,4.0
8621199000187.0,16695922000109.0,,0.0,0.0,0.0,0.0,173311818.35,200213.88,170662306.24,2449298.23,2449298.23,0.0,11483944.62,0.0,161827873.73,0.0,0.0,0.0,0.0,10391912.36,0.0,0.0,0.0,0.0,0.0,0.0,10391912.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98741153.74,93593156.47,0.0,0.0,11585755.67,0.0,0.0,0.0,0.0,0.0,6437758.4,0.0,0.0,0.0,71921152.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,11585755.67,0.0,0.0,0.017434242903898646,0.0,6.788702159987873,0.11552234689250782,98.47124556465656,False,True,False,False,False,True,ESTRUTURA_ATIPICA,0.0,DADOS_INVALIDOS,FAMCRED FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS  RESPONSABILIDADE LIMITADA,SUCESSO,818217,12/2024,,ROLLING_60_MESES,Outros,4.0
8661352000108.0,34829992000186.0,,0.0,0.0,0.0,0.0,448758442.62,118.7,448758323.92,0.0,0.0,0.0,27032.15,0.0,448731410.47,448548352.0,448548352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448548352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448548352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209971.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.00439106767312256,99.9532104679049,0.0,2.6450755846951918e-05,99.99997354924416,False,False,False,False,False,False,VALIDADO,59.89,OPORTUNIDADE_MODERADA,VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,SUCESSO,813924,12/2024,,ROLLING_60_MESES,Outros,4.0
9104359000183.0,62285390000140.0,,0.0,0.0,0.0,0.0,186317048.0,1339899.55,183496595.84,1480552.61,1407204.23,73348.38,3350455.6,0.02,182966592.38,32783714.54,32798135.41,0.0,0.0,7938736.09,0.0,0.0,0.0,0.0,0.0,0.0,7953156.96,32798135.41,2091885.85,2155808.71,3752462.31,2821258.47,2263780.79,1872159.17,3172315.78,5150906.23,5298396.0,4219162.1,107503280.65,101640955.85,8979208.51,1840863.98,356863.94,0.0,824537.91,0.0,0.0,0.0,3473747.65,0.0,0.0,0.0,29518456.69,29518456.69,0.0,0.0,0.0,0.0,0.0,2771919.39,0.0,7111887.13,0.0,3807337.44,,0.0,7938736.09,0.0,0.0,0.3999156264001827,2.29931355439362,4.326366957195319,0.7191502679883592,98.4862082185845,False,False,False,False,False,False,VALIDADO,26.15,BAIXA_PRIORIDADE,DETOMASO FIDC-NP MULTISSETORIAL,SUCESSO,816069,12/2024,,ROLLING_60_MESES,Outros,4.0
9260031000156.0,62285390000140.0,,0.0,0.0,0.0,0.0,39673754.85,64583.15,39594065.68,15106.02,15106.02,0.0,30024.5,0.0,39643730.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39594065.68,,0.0,0.0,0.0,0.0,2.151015004413063,0.0,0.0,0.16278557510923372,99.79913882539907,False,True,False,False,False,True,ESTRUTURA_ATIPICA,0.0,DADOS_INVALIDOS,FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO SRM,SUCESSO,816104,12/2024,,ROLLING_60_MESES,Outros,4.0
9363400000136.0,62285390000140.0,,0.0,0.0,0.0,0.0,176555519.92,4583834.77,169898047.0,2073638.15,2073638.15,0.0,4886057.2,0.46,171669462.26,17731024.6,15641634.01,446394.03,48413.2,1644366.4,0.0,48413.2,0.0,0.0,0.0,0.0,1369.84,16039614.84,8758565.81,7150284.16,130764.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93563483.78,55202025.06,34768919.11,5723078.31,4041470.73,0.0,1700751.77,0.0,0.0,0.0,448931.12,0.0,54000000.0,0.0,9811201.14,0.0,0.0,0.0,0.0,0.0,0.0,1473828.88,0.0,12783553.4,0.0,34534955.2,,0.0,4041470.73,0.02849544232842182,0.2730423147684313,0.9381459492533161,0.0,2.3787623232655526,2.596256844349588,96.22924679839147,False,False,False,False,False,False,VALIDADO,11.55,SEM_OPORTUNIDADE,MERCANTIL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISETORIAL,SUCESSO,816283,12/2024,,ROLLING_60_MESES,Outros,4.0
9520712000106.0,62285390000140.0,,0.0,0.0,0.0,0.0,20615793.92,692325.14,18818004.19,1105464.59,1105464.59,0.0,1126882.06,138224.64,19350687.22,836883.16,836883.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836883.16,836883.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11369027.72,8420821.17,5095305.56,1545035.2,2358495.87,0.0,708637.45,0.0,0.0,0.0,4505594.88,0.0,113421926.0,0.0,6408155.64,0.0,0.0,0.0,0.0,0.0,0.0,179243.62,0.0,24694.05,0.0,0.0,,0.0,2358495.87,0.0,0.0,0.6143723150584188,0.0,12.53318814358283,3.3582269142123824,91.27955131402477,False,False,False,False,False,False,VALIDADO,14.64,SEM_OPORTUNIDADE,GRAN FIDC NÃO-PADRONIZADOS MULTISSETORIAL NP - GRANFIDC,SUCESSO,816190,12/2024,,ROLLING_60_MESES,Outros,4.0
9527140000197.0,62318407000119.0,,0.0,0.0,0.0,0.0,370394417.95,139901.17,370184632.89,69883.89,0.0,69883.89,160920.65,27000.0,370206497.3,202160044.14,192517984.55,10457157.96,2094219.27,12165697.78,0.0,0.0,0.0,0.0,0.0,0.0,12980796.15,200880923.24,4439958.66,2055431.05,5932069.68,4148543.97,1755390.14,4220968.08,31856211.03,65103154.74,34535068.17,46834127.72,137171872.48,132746586.0,0.0,0.0,9589535.44,0.0,0.0,0.0,0.0,0.0,5164248.96,0.0,0.0,0.0,28290818.68,0.0,0.0,0.0,331697.48,0.0,0.0,2561897.59,0.0,0.0,0.0,0.0,,0.0,12165697.78,0.5657229079582824,1.0359214546617879,0.8693798465268442,12.651559129931986,3.28638649449693,0.0377708634958115,99.94336171123715,False,False,False,False,False,False,VALIDADO,19.59,BAIXA_PRIORIDADE,BSPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL,SUCESSO,818370,12/2024,,ROLLING_60_MESES,Outros,4.0
