CNPJ_FUNDO;CNPJ_ADMINISTRADOR;DATA_COMPETENCIA;TIPO_CONDOMINIO;FUNDO_EXCLUSIVO;CLASSE_UNICA;COTISTA_VINCULADO;ATIVO_TOTAL;DISPONIBILIDADES;CARTEIRA_TOTAL;OUTROS_ATIVOS_TOTAL;OUTROS_ATIVOS_CURTO_PRAZO;OUTROS_ATIVOS_LONGO_PRAZO;CREDITOS_ADQUIRIDOS;CRED_VENCIDOS_ADIMPLENTES;CRED_VENCIDOS_INADIMPLENTES;CRED_TOTAL_VENC_INADIMPL;CRED_INADIMPLENCIA;CRED_PERFORMADOS;CRED_VENCIDOS_PENDENTES;CRED_EMP_RECUPERACAO;CRED_RECEITA_PUBLICA;CRED_ACAO_JUDICIAL;CRED_CONSTITUICAO_JURIDICA;CRED_PROVISAO_REDUCAO;DICRED_TOTAL;DICRED_CEDENTE;DICRED_VENC_INADIMPL;DICRED_TOTAL_VENC_INAD;DICRED_INADIMPLENCIA;DICRED_PERFORMADOS;DICRED_VENC_PENDENTES;DICRED_EMP_RECUPERACAO;DICRED_RECEITA_PUBLICA;DICRED_ACAO_JUDICIAL;DICRED_PROVISAO_REDUCAO;VALORES_MOBILIARIOS_TOTAL;DEBENTURES;CRI;NOTAS_PROMISSORIAS_COMERCIAIS;LETRAS_FINANCEIRAS;COTAS_FIF;OUTROS_DIREITOS_CREDITORIOS;TITULOS_PUBLICOS_FEDERAIS;CDB;APLICACOES_COMPROMISSADAS;ATIVOS_FINANCEIROS_RF;COTAS_FIDC;DERIVATIVOS_TOTAL;TERMO_COMPRADOR;OPCOES_TITULAR;FUTUROS_AJUSTE_POSITIVO;SWAP_A_RECEBER;COBERTURA_PRESTADA;DEPOSITOS_MARGEM;CARTEIRA_SEGMENTADA_TOTAL;SEGMT_INDUSTRIAL;SEGMT_MERCADO_IMOBILIARIO;SEGMT_AGRONEGOCIO;SEGMT_CARTAO_CREDITO;SEGMT_ACAO_JUDICIAL;SEGMT_PROPRIEDADE_INTELECTUAL;SEGMT_COMERCIAL_TOTAL;SEGMT_COMERCIO;SEGMT_COMERCIO_VAREJO;SEGMT_ARREND_MERCANTIL;SEGMT_SERVICOS_TOTAL;SEGMT_SERVICOS_GERAIS;SEGMT_SERVICOS_PUBLICOS;SEGMT_SERVICOS_EDUCACAO;SEGMT_SERVICOS_ENTRETENIMENTO;SEGMT_FINANCEIRO_TOTAL;SEGMT_FINANC_CREDITO_PESSOA;SEGMT_FINANC_CONSIGNADO;SEGMT_FINANC_CORPORATIVO;SEGMT_FINANC_MIDDLE_MARKET;SEGMT_FINANC_VEICULOS;SEGMT_FINANC_IMOB_EMPRESARIAL;SEGMT_FINANC_IMOB_RESIDENCIAL;SEGMT_FINANC_OUTROS;SEGMT_FACTORING_TOTAL;SEGMT_FACTORING_PESSOA;SEGMT_FACTORING_CORPORATIVO;SEGMT_SETOR_PUBLICO_TOTAL;SEGMT_PRECATORIOS;SEGMT_CREDITOS_TRIBUTARIOS;SEGMT_ROYALTIES;SEGMT_SETOR_PUBLICO_OUTROS;INADIMPLENCIA_TOTAL;INDICE_NPL_DECIMAL;INDICE_NPL_PERCENTUAL;TAXA_LIQUIDEZ_PERCENTUAL;CONCENTRACAO_CREDITO_PERCENTUAL;STATUS;DATA_REFERENCIA_DOC;ID_DOCUMENTO;MENSAGEM_ERRO;CARTEIRA_BRUTA;TAXA_LIQUIDEZ_DECIMAL;CONCENTRACAO_CREDITO_DECIMAL;ATIVO_ZERO_FLAG;CARTEIRA_BRUTA_ZERO_COM_INAD_FLAG;SEM_POSICAO_FLAG
51199121000145;16695922000109;12/2025;FECHADO;NAO;SIM;NAO;4062154,2200;102028,8500;3960125,3700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;3651286,1400;3433790,7600;0,0000;0,0000;241472,6200;0,0000;0,0000;0,0000;0,0000;0,0000;23977,2400;308839,2300;0,0000;0,0000;0,0000;0,0000;308839,2300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;3675263,3800;161713,1000;55649,8900;0,0000;0,0000;0,0000;0,0000;135859,6700;100050,1100;35809,5600;0,0000;3082435,8700;3082435,8700;0,0000;0,0000;0,0000;239604,8500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;239604,8500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;241472,6200;0,0000;0,0000;2,5117;0,0000;SUCESSO;12/2025;1074889;;0,0000;0,0251;0,0000;False;True;False
47388724000118;33851064000155;12/2025;FECHADO;NAO;SIM;NAO;1457082,8300;258,4900;1456824,3400;0,0000;0,0000;0,0000;0,0000;1968702,8600;0,0000;0,0000;974472,8400;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2943175,7000;425162,9200;4263457,2200;0,0000;0,0000;3674313,4500;0,0000;0,0000;0,0000;0,0000;0,0000;7512607,7500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1031661,4200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;10880946,3700;0,0000;3043184,5700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7837761,8000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7837761,8000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;3674313,4500;0,0000;0,0000;0,0177;0,0000;SUCESSO;12/2025;1081834;;0,0000;0,0002;0,0000;False;True;False
52362629000185;62285390000140;12/2025;FECHADO;NAO;SIM;NAO;18237909,4700;3,1900;18236182,9000;1723,3800;1723,3800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;35620,6300;0,0000;0,0000;0,0000;0,0000;35620,6300;0,0000;0,0000;0,0000;0,0000;0,0000;18200562,2700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;SUCESSO;12/2025;1079989;;0,0000;0,0000;0,0000;False;False;False
50356663000111;40434681000110;12/2025;ABERTO;NAO;NAO;NAO;2602236,5700;162240,0500;2310057,7100;129938,8100;129938,8100;0,0000;2208827,3200;2189151,8700;0,0000;0,0000;37136,0600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;17460,6100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;101230,3900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2226287,9300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2226287,9300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2226287,9300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;37136,0600;0,0168;1,6813;6,2346;84,8819;SUCESSO;12/2025;1075017;;2208827,3200;0,0623;0,8488;False;False;False
41609997000169;62285390000140;12/2025;FECHADO;NAO;SIM;NAO;3833580,2700;957,0400;3830483,7600;2139,4700;2139,4700;0,0000;3697759,6900;5166313,1500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1468553,4600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;132724,0700;0,0000;0,0000;0,0000;0,0000;132724,0700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5166313,1500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5166313,1500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5166313,1500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0250;96,4571;SUCESSO;12/2025;1079101;;3697759,6900;0,0002;0,9646;False;False;False
24506241000175;62285390000140;12/2025;FECHADO;NAO;SIM;NAO;101951670,9500;1025823,6800;99947146,8900;978700,3800;978700,3800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;94540391,5600;69920396,5200;42783289,6000;8435800,6500;5275060,6900;0,0000;0,0000;0,0000;0,0000;0,0000;23438355,2500;4503323,2700;0,0000;0,0000;0,0000;0,0000;4503323,2700;0,0000;56537,2000;0,0000;846894,8600;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;117978746,8100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;117978746,8100;117978746,8100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;5275060,6900;0,0000;0,0000;1,0062;0,0000;SUCESSO;12/2025;1079110;;0,0000;0,0101;0,0000;False;True;False
42358004000196;00329598000167;12/2025;FECHADO;NAO;SIM;NAO;3508826955,3900;0,0000;3506832955,4400;1993999,9500;0,0000;1993999,9500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;3506832955,4400;0,0000;3506832955,4400;1468601861,4900;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;3506832955,4400;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;3506832955,4400;3506832955,4400;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;SUCESSO;12/2025;1080986;;0,0000;0,0000;0,0000;False;False;False
37529228000183;62285390000140;12/2025;FECHADO;NAO;SIM;NAO;160851767,6900;0,0000;160841615,1500;10152,5400;10152,5400;0,0000;152756300,1300;152756300,1300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;25264,2500;0,0000;0,0000;0,0000;0,0000;25264,2500;0,0000;0,0000;0,0000;0,0000;0,0000;8060050,7700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;152756300,1300;0,0000;0,0000;0,0000;0,0000;152756300,1300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;94,9671;SUCESSO;12/2025;1079105;;152756300,1300;0,0000;0,9497;False;False;False
13425492000109;62285390000140;11/2025;FECHADO;NAO;SIM;NAO;23537270,6600;6923,0200;23362707,4300;167640,2100;167640,2100;0,0000;2999624,6300;2855759,3900;384809,2600;132548,6000;200415,5400;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;441359,5600;17360360,2400;15280035,4400;1822623,9100;265245,7600;1744338,8100;0,0000;523696,3100;0,0000;0,0000;0,0000;1486637,9200;2914054,9800;1582,4300;0,0000;0,0000;0,0000;2912472,5500;0,0000;88667,5800;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;22287982,3500;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;22016686,5100;22016686,5100;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;271295,8400;271295,8400;0,0000;0,0000;0,0000;1744338,8100;0,5815;58,1519;0,0294;12,7441;SUCESSO;11/2025;1054067;;2999624,6300;0,0003;0,1274;False;False;False
49000687000154;40434681000110;12/2025;ABERTO;NAO;NAO;NAO;6795954,5500;75571,0200;6598581,6600;121801,8700;121801,8700;0,0000;6342553,0400;6439079,0500;0,0000;0,0000;660281,9200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;756807,9300;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;256028,6200;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7099360,9700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7099360,9700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;7099360,9700;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;660281,9200;0,1041;10,4103;1,1120;93,3284;SUCESSO;12/2025;1075884;;6342553,0400;0,0111;0,9333;False;False;False
