CNPJ_FUNDO;CNPJ_ADMINISTRADOR;DATA_COMPETENCIA;TIPO_CONDOMINIO;FUNDO_EXCLUSIVO;CLASSE_UNICA;COTISTA_VINCULADO;ATIVO_TOTAL;DISPONIBILIDADES;CARTEIRA_TOTAL;OUTROS_ATIVOS_TOTAL;OUTROS_ATIVOS_CURTO_PRAZO;OUTROS_ATIVOS_LONGO_PRAZO;CREDITOS_ADQUIRIDOS;CRED_VENCIDOS_ADIMPLENTES;CRED_VENCIDOS_INADIMPLENTES;CRED_TOTAL_VENC_INADIMPL;CRED_INADIMPLENCIA;CRED_PERFORMADOS;CRED_VENCIDOS_PENDENTES;CRED_EMP_RECUPERACAO;CRED_RECEITA_PUBLICA;CRED_ACAO_JUDICIAL;CRED_CONSTITUICAO_JURIDICA;CRED_PROVISAO_REDUCAO;DICRED_TOTAL;DICRED_CEDENTE;DICRED_VENC_INADIMPL;DICRED_TOTAL_VENC_INAD;DICRED_INADIMPLENCIA;DICRED_PERFORMADOS;DICRED_VENC_PENDENTES;DICRED_EMP_RECUPERACAO;DICRED_RECEITA_PUBLICA;DICRED_ACAO_JUDICIAL;DICRED_PROVISAO_REDUCAO;VALORES_MOBILIARIOS_TOTAL;DEBENTURES;CRI;NOTAS_PROMISSORIAS_COMERCIAIS;LETRAS_FINANCEIRAS;COTAS_FIF;OUTROS_DIREITOS_CREDITORIOS;TITULOS_PUBLICOS_FEDERAIS;CDB;APLICACOES_COMPROMISSADAS;ATIVOS_FINANCEIROS_RF;COTAS_FIDC;DERIVATIVOS_TOTAL;TERMO_COMPRADOR;OPCOES_TITULAR;FUTUROS_AJUSTE_POSITIVO;SWAP_A_RECEBER;COBERTURA_PRESTADA;DEPOSITOS_MARGEM;CARTEIRA_SEGMENTADA_TOTAL;SEGMT_INDUSTRIAL;SEGMT_MERCADO_IMOBILIARIO;SEGMT_AGRONEGOCIO;SEGMT_CARTAO_CREDITO;SEGMT_ACAO_JUDICIAL;SEGMT_PROPRIEDADE_INTELECTUAL;SEGMT_COMERCIAL_TOTAL;SEGMT_COMERCIO;SEGMT_COMERCIO_VAREJO;SEGMT_ARREND_MERCANTIL;SEGMT_SERVICOS_TOTAL;SEGMT_SERVICOS_GERAIS;SEGMT_SERVICOS_PUBLICOS;SEGMT_SERVICOS_EDUCACAO;SEGMT_SERVICOS_ENTRETENIMENTO;SEGMT_FINANCEIRO_TOTAL;SEGMT_FINANC_CREDITO_PESSOA;SEGMT_FINANC_CONSIGNADO;SEGMT_FINANC_CORPORATIVO;SEGMT_FINANC_MIDDLE_MARKET;SEGMT_FINANC_VEICULOS;SEGMT_FINANC_IMOB_EMPRESARIAL;SEGMT_FINANC_IMOB_RESIDENCIAL;SEGMT_FINANC_OUTROS;SEGMT_FACTORING_TOTAL;SEGMT_FACTORING_PESSOA;SEGMT_FACTORING_CORPORATIVO;SEGMT_SETOR_PUBLICO_TOTAL;SEGMT_PRECATORIOS;SEGMT_CREDITOS_TRIBUTARIOS;SEGMT_ROYALTIES;SEGMT_SETOR_PUBLICO_OUTROS;INADIMPLENCIA_TOTAL;INDICE_NPL_PERCENTUAL;TAXA_LIQUIDEZ_PERCENTUAL;CONCENTRACAO_CREDITO_PERCENTUAL;NOME_FUNDO;STATUS;ID_DOCUMENTO;DATA_REFERENCIA_DOC;MENSAGEM_ERRO
51199121000145.0;16695922000109,0;0,0;0,0;0,0;0,0;0,0;3240831,54;234,21;3194062,26;46535,07;46535,07;0,0;58012,49;58012,49;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3116607,01;2996250,21;0,0;0,0;121866,14;0,0;0,0;0,0;0,0;0,0;1509,34;19442,76;0,0;0,0;0,0;0,0;19442,76;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3176128,84;0,0;312950,33;0,0;0,0;0,0;0,0;488421,24;308907,12;179514,12;0,0;1968785,74;1827020,6;0,0;141765,14;0,0;405971,53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;405971,53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;121866,14;210,06879725383274;0,007226848946304688;1,790049537718335;2MONEY RESP LIMITADA FIDC NP SUBORDINADA JÚNIOR 1;SUCESSO;712157,0;07/2024;
47388724000118.0;33851064000155,0;0,0;0,0;0,0;0,0;0,0;8914794,25;39500,4;8874453,31;840,54;840,54;0,0;2579735,63;2489601,97;0,0;0,0;100000,0;0,0;0,0;0,0;0,0;0,0;0,0;9866,34;6294717,68;6220197,54;0,0;0,0;100000,0;0,0;0,0;0,0;0,0;0,0;25479,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8909799,51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8909799,51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8909799,51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100000,0;3,8763661995861183;0,4430881845646635;28,93769118675958;3R RESP LIMITADA FIDC NP ÚNICA 1;SUCESSO;597382,0;01/2024;
52362629000185.0;62285390000140,0;0,0;0,0;0,0;0,0;0,0;7177276,68;0,0;7173670,91;3605,77;3605,77;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54608,71;0,0;0,0;0,0;0,0;54608,71;0,0;0,0;0,0;0,0;0,0;7119062,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3T FICFIDC NP 1;SUCESSO;711409,0;07/2024;
50356663000111.0;40434681000110,0;0,0;0,0;0,0;0,0;0,0;1768372,72;135885,41;1632487,31;0,0;0,0;0,0;1632487,31;1612272,85;0,0;0,0;20214,46;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1632487,31;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1632487,31;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1632487,31;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20214,46;1,2382613865463983;7,684206415489152;92,31579358451086;ABF VISION FIDC NP SÊNIOR 1;SUCESSO;995245,0;05/2025;
41609997000169.0;62285390000140,0;0,0;0,0;0,0;0,0;0,0;6842403,73;1209,41;6835592,17;5602,15;5602,15;0,0;6718801,89;0,0;0,0;0,0;6718801,89;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;73514,27;0,0;0,0;0,0;0,0;73514,27;0,0;43276,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6718801,89;0,0;0,0;0,0;0,0;0,0;0,0;6718801,89;6718801,89;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6718801,89;100,0;0,017675221277830094;98,19359036857065;ACERTO GRUPO INTER FIDC NP SUBORDINADA JÚNIOR 1;SUCESSO;566828,0;11/2023;
42358004000196.0;329598000167,0;0,0;0,0;0,0;0,0;0,0;2707372408,65;13607,48;2701149643,73;6209157,44;6209157,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2700002582,57;0,0;0,0;0,0;2700002582,57;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1132542,21;0,0;14518,95;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2700002582,57;0,0;0,0;0,0;0,0;2629115793,42;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;70886789,15;70886789,15;0,0;0,0;0,0;2700002582,57;0,0;0,0005026083577022642;0,0;ACONCÁGUA RESP LIMITADA FIDC NP SÊNIOR 1;SUCESSO;617616,0;02/2024;
49000687000154.0;40434681000110,0;0,0;0,0;0,0;0,0;0,0;203996182,0;1313337,0;201056869,0;1625976,0;1625976,0;0,0;195657168,0;195585126,0;0,0;0,0;86178,0;0,0;0,0;0,0;0,0;0,0;0,0;14136,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5399701,0;0,0;0,0;0,0;0,0;5399701,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;195671304,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;195671304,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;195671304,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;86178,0;0,04404540905958528;0,6438046963055416;95,91217153270055;ADVANTAGE CREDIT FIDC NP SUBORDINADA JÚNIOR 1;SUCESSO;545880,0;10/2023;
57377862000155.0;34829992000186,0;0,0;0,0;0,0;0,0;0,0;61822684,45;8297,58;61667256,3;147130,57;147130,57;0,0;61667256,3;75983812,53;0,0;0,0;103079655,29;0,0;0,0;0,0;0,0;0,0;0,0;117396211,52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;179063467,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;179063467,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;179063467,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;103079655,29;167,15459949853485;0,013421578298999275;99,74859042213589;AEDGER FIDC NP 1;SUCESSO;1038653,0;10/2025;
51774918000129.0;47215387000167,0;0,0;0,0;0,0;0,0;0,0;28624416,8;1000,0;28619727,36;3689,44;3689,44;0,0;26555734,91;26555734,91;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1514393,22;1514393,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;549599,23;0,0;0,0;0,0;0,0;549599,23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28070128,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28070128,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28070128,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0034935209579536304;92,77301646194587;AF6 FIDC NP 1;SUCESSO;756716,0;09/2024;
53321594000107.0;16695922000109,0;0,0;0,0;0,0;0,0;0,0;28388508,71;85,0;28388423,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28139791,7;28139791,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;248632,01;0,0;0,0;0,0;0,0;248632,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28139791,7;0,0;3344535,95;0,0;0,0;0,0;0,0;1570780,46;1570780,46;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23224475,29;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23224475,29;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,00029941692558883273;0,0;AFL INVEST II RESP LIMITADA FIDC NP ÚNICA 1;SUCESSO;780168,0;10/2024;
